Sex,Length,Diameter,Whole weight,Shucked weight,Viscera weight,Shell weight,log_Height,Rings
M,0.46,0.345,0.4935,0.2435,0.1175,0.132,0.11332868530700317,8
M,0.46,0.345,0.4595,0.235,0.0885,0.116,0.10436001532424277,7
M,0.465,0.36,0.4955,0.2665,0.085,0.121,0.10436001532424277,7
I,0.465,0.355,0.4325,0.2005,0.074,0.1275,0.08617769624105233,9
F,0.475,0.38,0.689,0.3165,0.1315,0.1955,0.1310282624064041,7
I,0.48,0.35,0.5465,0.2735,0.0995,0.158,0.126632650933366,8
M,0.485,0.39,0.617,0.25,0.1345,0.1635,0.126632650933366,8
I,0.49,0.37,0.538,0.271,0.1035,0.139,0.10436001532424277,8
M,0.5,0.39,0.7815,0.361,0.1575,0.2385,0.126632650933366,9
F,0.5,0.38,0.6355,0.277,0.143,0.1785,0.1310282624064041,8
M,0.505,0.385,0.6435,0.3135,0.149,0.1515,0.12221763272424921,7
M,0.525,0.385,0.5115,0.246,0.1005,0.1455,0.09531017980432487,8
M,0.535,0.42,0.738,0.355,0.1895,0.1795,0.11778303565638346,8
F,0.535,0.42,0.699,0.3125,0.1565,0.2035,0.12221763272424921,8
F,0.54,0.385,0.7655,0.3265,0.116,0.2365,0.1310282624064041,10
F,0.54,0.42,0.7505,0.368,0.1675,0.1845,0.12221763272424921,9
F,0.545,0.43,0.844,0.3945,0.1855,0.231,0.14842000511827327,9
M,0.55,0.41,0.8705,0.4455,0.2115,0.213,0.12221763272424921,9
I,0.55,0.42,0.668,0.2925,0.137,0.209,0.10885440491208208,11
F,0.565,0.44,0.83,0.393,0.1735,0.238,0.126632650933366,9
M,0.58,0.45,0.8685,0.418,0.1475,0.2605,0.11332868530700317,8
F,0.58,0.435,0.839,0.3485,0.207,0.192,0.13976194237515868,7
F,0.585,0.485,1.079,0.4145,0.2115,0.356,0.13976194237515868,11
M,0.595,0.465,0.919,0.4335,0.1765,0.262,0.13976194237515868,9
F,0.6,0.47,1.1345,0.492,0.2595,0.3375,0.173953307123438,10
F,0.61,0.43,0.909,0.438,0.2,0.22,0.1310282624064041,8
M,0.61,0.48,1.2435,0.5575,0.2675,0.372,0.1527210870176639,8
F,0.62,0.49,1.056,0.493,0.244,0.2725,0.14842000511827327,9
M,0.645,0.495,1.2095,0.603,0.2225,0.339,0.13976194237515868,9
M,0.65,0.5,1.238,0.6165,0.2355,0.32,0.1310282624064041,8
F,0.665,0.525,1.644,0.818,0.3395,0.4275,0.19062035960864973,10
M,0.685,0.55,1.7725,0.813,0.387,0.49,0.18232155679395462,11
F,0.69,0.54,1.2525,0.73,0.3975,0.462,0.178146185383474,12
F,0.705,0.57,1.761,0.747,0.3725,0.488,0.16974277458709452,10
F,0.71,0.5,1.3165,0.6835,0.2815,0.28,0.13976194237515868,10
M,0.72,0.585,1.914,0.9155,0.448,0.27988756983240226,0.19885085874516517,11
F,0.72,0.575,2.1,0.8565,0.4825,0.602,0.1947440767925118,12
F,0.73,0.555,1.6895,0.6555,0.1965,0.4935,0.16551443847757338,10
M,0.775,0.57,2.032,0.735,0.4755,0.6585,0.19885085874516517,17
F,0.505,0.39,0.66,0.3045,0.1555,0.175,0.10885440491208208,8
M,0.53,0.425,0.7455,0.2995,0.1355,0.245,0.12221763272424921,10
F,0.505,0.385,0.616,0.243,0.1075,0.21,0.10885440491208208,11
I,0.405,0.305,0.2825,0.114,0.0575,0.095,0.08617769624105233,7
M,0.415,0.3,0.3355,0.1545,0.0685,0.095,0.09531017980432487,7
M,0.5,0.39,0.9825985765124554,0.273,0.132,0.22,0.13540463700620295,11
M,0.425,0.33,0.361,0.134,0.0825,0.125,0.07696104113612832,7
M,0.47,0.35,0.4775,0.1885,0.0885,0.175,0.09531017980432487,8
F,0.4,0.31,0.3465,0.1475,0.0695,0.115,0.10885440491208208,10
I,0.37,0.29,0.25,0.1025,0.0505,0.085,0.09531017980432487,10
M,0.5,0.38,0.66,0.2655,0.1365,0.215,0.14410034397375684,19
I,0.41,0.31,0.315,0.124,0.082,0.095,0.10436001532424277,9
M,0.375,0.29,0.276,0.1175,0.0565,0.27988756983240226,0.09531017980432487,9
F,0.49,0.385,0.5395,0.2175,0.128,0.165,0.11778303565638346,11
M,0.585,0.48,1.04,0.434,0.265,0.285,0.16974277458709452,10
M,0.595,0.455,1.041,0.416,0.2105,0.365,0.14410034397375684,14
F,0.675,0.55,1.6885,0.562,0.3705,0.6,0.16551443847757338,15
M,0.665,0.535,2.1835,0.7535,0.391,0.885,0.20294084399669032,27
M,0.62,0.49,1.2105,0.5185,0.2555,0.335,0.15700374880966475,13
I,0.325,0.25,0.166,0.076,0.051,0.045,0.05354076692802982,5
I,0.455,0.355,0.452,0.2165,0.0995,0.125,0.07696104113612832,9
M,0.525,0.43833921015514804,0.9825985765124554,0.3265,0.1975,0.175,0.12221763272424921,8
I,0.385,0.29,0.232,0.0855,0.0495,0.08,0.08617769624105233,7
I,0.13,0.095,0.0105,0.005,0.0065,0.0035,0.034401426717332394,4
I,0.18,0.13,0.0275,0.0125,0.01,0.12803508771929822,0.04401688541677432,3
I,0.31,0.225,0.1445,0.0675,0.0385,0.045,0.04879016416943201,6
F,0.375,0.29,0.282,0.1405,0.0725,0.08,0.07696104113612832,7
F,0.48,0.38,0.608,0.2705,0.1405,0.185,0.11332868530700317,8
I,0.455,0.37,0.433,0.201,0.1265,0.145,0.11778303565638346,9
M,0.425,0.325,0.3295,0.1365,0.0725,0.11,0.09531017980432487,7
I,0.475,0.36,0.4555,0.177,0.0965,0.145,0.10436001532424277,9
F,0.435,0.35,0.4585,0.192,0.1,0.13,0.11332868530700317,11
F,0.29,0.21,0.275,0.113,0.0675,0.035,0.0723206615796261,6
M,0.385,0.295,0.335,0.147,0.094,0.09,0.09075436326846414,7
M,0.47,0.375,0.4265,0.1685,0.0755,0.15,0.10885440491208208,8
F,0.5,0.4,0.5765,0.2395,0.126,0.185,0.11778303565638346,10
I,0.4,0.31,0.127,0.106,0.071,0.085,0.09531017980432487,7
M,0.62,0.51,1.1505,0.4375,0.2265,0.4,0.16126814759612226,12
M,0.595,0.47,0.8915,0.359,0.2105,0.245,0.13976194237515868,12
M,0.585,0.455,0.97,0.462,0.185,0.295,0.1310282624064041,9
M,0.32,0.24,0.18,0.08,0.0385,0.055,0.07696104113612832,6
F,0.52,0.41,0.6985,0.2945,0.1625,0.215,0.11778303565638346,10
M,0.44,0.35,0.4585,0.2,0.0885,0.13,0.10436001532424277,9
F,0.44,0.33,0.4005,0.143,0.113,0.12,0.10885440491208208,8
M,0.565,0.425,0.7145,0.3055,0.166,0.18,0.09531017980432487,12
F,0.56,0.425,0.932,0.361,0.213,0.335,0.11778303565638346,9
F,0.59,0.455,0.966,0.391,0.2455,0.31,0.16126814759612226,10
F,0.57,0.465,1.0224226985242446,0.405,0.277,0.295,0.16551443847757338,16
M,0.68,0.53,1.496,0.5825,0.337,0.465,0.1864795669426183,14
F,0.45,0.36,1.0224226985242446,0.222,0.105,0.16,0.11778303565638346,10
I,0.32,0.24,0.1735,0.076,0.0355,0.05,0.0723206615796261,7
I,0.46,0.35,0.3945,0.1685,0.0865,0.125,0.10436001532424277,9
M,0.47,0.37,0.4665,0.2025,0.1015,0.155,0.09984533496971613,10
M,0.455,0.35,0.401,0.1575,0.083,0.135,0.09984533496971613,9
F,0.415,0.325,0.3455,0.1405,0.0765,0.11,0.10885440491208208,9
M,0.465,0.35,0.5205,0.2015,0.1625,0.185,0.11332868530700317,11
M,0.46,0.375,0.4935,0.186,0.0845,0.17,0.126632650933366,12
M,0.415,0.31,0.3245,0.1305,0.0735,0.115,0.08617769624105233,8
M,0.27,0.195,0.106,0.0465,0.018,0.036,0.06765864847381481,7
F,0.445,0.4492524682651622,0.4415,0.1805,0.1035,0.1505,0.10436001532424277,10
F,0.745,0.4492524682651622,1.966,0.8435,0.437,0.5855,0.173953307123438,18
F,0.4,0.3,0.3025,0.1335,0.0465,0.0935,0.10885440491208208,8
I,0.28,0.2,0.1225,0.0545,0.0115,0.035,0.0723206615796261,5
M,0.55,0.44,0.879,0.368,0.2095,0.265,0.126632650933366,10
M,0.58,0.46,1.2275,0.473,0.1965,0.435,0.1527210870176639,16
M,0.61,0.5,1.2715,0.4915,0.185,0.49,0.1527210870176639,12
M,0.62,0.495,1.806,0.643,0.3285,0.725,0.16126814759612226,17
M,0.56,0.42,0.8085,0.3025,0.1795,0.285,0.178146185383474,14
F,0.64,0.51,1.3905,0.61,0.3315,0.41,0.18232155679395462,12
M,0.69,0.55,1.8465,0.732,0.472,0.57,0.18232155679395462,19
F,0.715,0.565,2.1995,0.7245,0.465,0.885,0.2151113796169455,17
F,0.71,0.565,1.817,0.785,0.492,0.49,0.178146185383474,11
F,0.55,0.47,0.897,0.377,0.184,0.29,0.13976194237515868,9
M,0.375,0.305,0.3245,0.1395,0.0565,0.095,0.08617769624105233,5
F,0.61,0.45,1.136,0.414,0.311,0.3,0.14842000511827327,9
I,0.38,0.28,0.2735,0.115,0.061,0.085,0.08157998699242289,6
F,0.37,0.275,0.2405,0.104,0.0535,0.07,0.08157998699242289,5
M,0.335,0.235,0.1545,0.066,0.0345,0.045,0.08157998699242289,6
I,0.165,0.115,0.0145,0.0055,0.003,0.005,0.014888612493750656,4
M,0.285,0.21,0.1185,0.055,0.0285,0.04,0.0723206615796261,7
I,0.19,0.13,0.0295,0.0155,0.015,0.01,0.0295588022415444,6
I,0.215,0.15,0.0385,0.0115,0.005,0.01,0.0295588022415444,5
M,0.595,0.465,0.799,0.3245,0.2,0.23,0.11778303565638346,10
F,0.645,0.5,1.1845,0.4805,0.274,0.355,0.15700374880966475,13
M,0.575,0.45,0.925,0.342,0.197,0.35,0.16974277458709452,12
F,0.57,0.45,1.098,0.414,0.187,0.405,0.15700374880966475,20
F,0.58,0.45,1.071,0.3,0.206,0.395,0.21107097007994052,14
F,0.595,0.48,0.975,0.358,0.2035,0.34,0.18232155679395462,15
F,0.595,0.47,1.283,0.462,0.2475,0.445,0.22314355131420976,14
F,0.625,0.42,1.0595,0.358,0.165,0.445,0.1527210870176639,21
M,0.535,0.42,0.9195,0.3355,0.1985,0.26,0.1527210870176639,16
M,0.55,0.43,0.9295,0.317,0.1735,0.355,0.14842000511827327,13
M,0.495,0.4,0.8085,0.2345,0.1155,0.35,0.14410034397375684,6
I,0.32,0.235,0.1485,0.064,0.031,0.045,0.07696104113612832,6
M,0.445,0.34,0.4475,0.193,0.1035,0.13,0.11332868530700317,9
F,0.52,0.4,0.6865,0.295,0.1715,0.185,0.11778303565638346,9
M,0.495,0.385,0.6335,0.2,0.1225,0.26,0.126632650933366,14
F,0.47,0.37,0.547,0.222,0.1325,0.17,0.126632650933366,12
F,0.49,0.37,0.585,0.243,0.115,0.195,0.1310282624064041,10
M,0.58,0.47,0.927,0.3215,0.1985,0.315,0.1527210870176639,11
F,0.645,0.495,1.4935,0.5265,0.2785,0.455,0.16974277458709452,15
F,0.575,0.485,1.0405,0.419,0.264,0.3,0.1527210870176639,14
I,0.215,0.17,0.0605,0.0205,0.014,0.02,0.05354076692802982,6
I,0.43,0.325,0.3675,0.1355,0.0935,0.12,0.10436001532424277,13
I,0.26,0.215,0.099,0.037,0.0255,0.045,0.07696104113612832,5
I,0.37,0.28,0.233,0.0905,0.0545,0.07,0.08617769624105233,11
I,0.405,0.305,0.3625,0.1565,0.0705,0.125,0.09984533496971613,10
I,0.27,0.19,0.081,0.0265,0.0195,0.03,0.07696104113612832,6
F,0.68,0.55,1.596,0.525,0.4075,0.585,0.18232155679395462,21
F,0.65,0.515,1.4005,0.5195,0.36,0.44,0.178146185383474,13
F,0.645,0.49,1.406,0.4265,0.2285,0.51,0.1947440767925118,25
M,0.57,0.405,0.9245,0.3445,0.2185,0.295,0.14842000511827327,19
M,0.615,0.48,1.36,0.5305,0.2375,0.47,0.173953307123438,18
M,0.42,0.345,0.43,0.175,0.096,0.13,0.09984533496971613,7
I,0.275,0.22,0.1365,0.0565,0.0285,0.042,0.07696104113612832,6
F,0.29,0.225,0.14,0.0515,0.0235,0.04,0.0723206615796261,5
M,0.42,0.34,0.4215,0.175,0.093,0.135,0.10885440491208208,8
F,0.625,0.525,1.5765,0.5115,0.2595,0.665,0.1947440767925118,16
F,0.55,0.465,1.2125,0.3245,0.205,0.525,0.16551443847757338,27
M,0.66,0.505,1.6305,0.4865,0.297,0.61,0.18232155679395462,18
M,0.565,0.47,1.142,0.387,0.258,0.35,0.178146185383474,17
F,0.595,0.495,1.366,0.5065,0.219,0.52,0.21107097007994052,13
M,0.63,0.51,1.539,0.5635,0.2815,0.57,0.20701416938432612,17
F,0.43,0.325,0.445,0.165,0.0995,0.155,0.11332868530700317,8
F,0.455,0.35,0.5725,0.1965,0.1325,0.175,0.1310282624064041,10
I,0.33,0.26,0.19,0.0765,0.0385,0.065,0.07696104113612832,7
F,0.515,0.415,0.764,0.276,0.196,0.25,0.12221763272424921,13
M,0.495,0.39,0.853,0.3285,0.189,0.27,0.13976194237515868,14
F,0.485,0.375,0.5885,0.2385,0.1155,0.19,0.13540463700620295,13
F,0.535,0.46,0.7875,0.3395,0.2005,0.2,0.13540463700620295,8
M,0.58,0.465,1.035,0.401,0.1865,0.385,0.16126814759612226,17
F,0.625,0.525,1.352,0.4505,0.2445,0.53,0.178146185383474,13
F,0.555,0.455,0.958,0.296,0.195,0.39,0.16551443847757338,14
F,0.55,0.425,0.797,0.297,0.15,0.265,0.13540463700620295,9
M,0.59,0.475,0.857,0.356,0.174,0.28,0.14410034397375684,13
I,0.355,0.28,0.2235,0.0815,0.0525,0.08,0.10436001532424277,7
I,0.275,0.2,0.086,0.0305,0.019,0.03,0.0723206615796261,7
F,0.505,0.39,0.692,0.267,0.15,0.215,0.16126814759612226,12
M,0.37,0.28,0.2225,0.0805,0.051,0.075,0.09075436326846414,7
M,0.555,0.43,0.7575,0.2735,0.1635,0.275,0.1527210870176639,13
F,0.505,0.4,0.729,0.2675,0.155,0.25,0.1527210870176639,9
F,0.56,0.445,0.903,0.3575,0.2045,0.295,0.16551443847757338,9
M,0.595,0.475,1.0965,0.419,0.229,0.35,0.15700374880966475,17
F,0.57,0.45,0.903,0.3305,0.1845,0.295,0.1527210870176639,14
M,0.6,0.48,1.229,0.4125,0.2735,0.415,0.16126814759612226,13
F,0.56,0.4492524682651622,1.106,0.422,0.2435,0.33,0.16974277458709452,15
M,0.585,0.465,1.171,0.3905,0.2355,0.4,0.173953307123438,17
I,0.46,0.335,0.444,0.225,0.0745,0.11,0.10436001532424277,8
F,0.46,0.36,0.4755,0.2105,0.105,0.16,0.10885440491208208,8
M,0.415,0.315,0.388,0.068,0.09,0.125,0.11778303565638346,12
F,0.435,0.32,0.3785,0.152,0.0915,0.125,0.11332868530700317,11
F,0.475,0.38,0.486,0.1735,0.07,0.185,0.126632650933366,7
M,0.465,0.43833921015514804,0.5265,0.2105,0.1185,0.165,0.12221763272424921,10
I,0.355,0.28,0.2275,0.0935,0.0455,0.085,0.09531017980432487,11
M,0.46,0.375,0.5105,0.192,0.1045,0.205,0.1310282624064041,9
F,0.38,0.325,0.3105,0.12,0.074,0.105,0.10436001532424277,10
F,0.47,0.365,0.543,0.2295,0.1495,0.15,0.11332868530700317,9
M,0.36,0.27,0.2225,0.083,0.053,0.075,0.08617769624105233,6
F,0.585,0.455,0.998,0.345,0.2495,0.315,0.1527210870176639,12
M,0.655,0.59,1.5455,0.654,0.3765,0.415,0.18232155679395462,11
M,0.6,0.485,1.2675,0.4995,0.2815,0.38,0.16126814759612226,13
F,0.57,0.46,1.1,0.4125,0.2205,0.38,0.15700374880966475,14
F,0.645,0.5,1.4285,0.639,0.305,0.36,0.18232155679395462,11
M,0.65,0.495,1.793,0.8005,0.339,0.53,0.16551443847757338,14
M,0.51,0.395,0.6185,0.216,0.1385,0.24,0.13540463700620295,12
M,0.52,0.38,0.5825,0.2505,0.1565,0.175,0.126632650933366,8
M,0.495,0.415,0.7485,0.264,0.134,0.285,0.1527210870176639,13
M,0.43,0.335,0.406,0.166,0.0935,0.135,0.10885440491208208,8
F,0.59,0.465,1.1005,0.506,0.2525,0.295,0.14842000511827327,13
M,0.55,0.46,0.869,0.3155,0.1825,0.32,0.16126814759612226,10
M,0.585,0.43,0.955,0.3625,0.176,0.27,0.14842000511827327,11
F,0.58,0.455,0.9215,0.312,0.196,0.3,0.14842000511827327,17
F,0.62,0.51,1.456,0.581,0.2875,0.32,0.13976194237515868,13
I,0.59,0.45,0.893,0.2745,0.2185,0.345,0.14842000511827327,14
F,0.72,0.575,2.226,0.8955,0.405,0.62,0.1947440767925118,13
F,0.635,0.51,1.2125,0.5735,0.261,0.36,0.16126814759612226,14
F,0.61,0.48,1.0675,0.391,0.216,0.42,0.16126814759612226,15
F,0.545,0.445,0.8525,0.3465,0.189,0.295,0.16126814759612226,13
M,0.57,0.45,0.8615,0.3725,0.2175,0.255,0.14842000511827327,12
F,0.6,0.475,1.162,0.511,0.2675,0.32,0.16551443847757338,18
F,0.52,0.41,0.8705,0.3735,0.219,0.25,0.15700374880966475,14
M,0.635,0.51,1.598,0.6535,0.2835,0.58,0.19062035960864973,15
F,0.67,0.52,1.406,0.519,0.348,0.29513775156141564,0.13976194237515868,13
M,0.695,0.57,2.033,0.751,0.4255,0.685,0.18232155679395462,15
M,0.655,0.525,0.9825985765124554,0.487,0.2215,0.445,0.16974277458709452,20
F,0.62,0.48,1.0935,0.403,0.245,0.355,0.20701416938432612,14
F,0.6,0.475,1.1805,0.4345,0.2475,0.425,0.16551443847757338,19
M,0.51,0.405,0.7175,0.3725,0.158,0.17,0.12221763272424921,9
M,0.525,0.405,0.7575,0.3305,0.216,0.195,0.126632650933366,10
M,0.44,0.375,0.487,0.226,0.0965,0.155,0.12221763272424921,9
I,0.485,0.415,0.5705,0.25,0.134,0.185,0.1310282624064041,8
F,0.495,0.385,0.6905,0.3125,0.179,0.175,0.12221763272424921,10
I,0.435,0.345,0.4475,0.221,0.112,0.125,0.11332868530700317,7
I,0.405,0.315,0.347,0.1605,0.0785,0.1,0.09984533496971613,9
I,0.42,0.33,0.352,0.1635,0.089,0.1,0.09531017980432487,9
F,0.5,0.395,0.7145,0.3235,0.173,0.195,0.13976194237515868,9
F,0.385,0.305,0.3315,0.1365,0.0745,0.1,0.09984533496971613,7
I,0.33,0.265,0.18,0.068,0.036,0.06,0.08617769624105233,6
F,0.58,0.475,0.974,0.4305,0.23,0.285,0.14410034397375684,10
I,0.325,0.27,0.185,0.08,0.0435,0.065,0.09531017980432487,6
M,0.475,0.375,0.563,0.2525,0.1205,0.185,0.11332868530700317,10
F,0.38,0.3,0.3215,0.1545,0.075,0.095,0.08617769624105233,9
I,0.34,0.26,0.179,0.076,0.0525,0.055,0.08617769624105233,6
F,0.525,0.425,0.702,0.3335,0.1465,0.22,0.11332868530700317,12
F,0.52,0.415,0.8045,0.3325,0.1725,0.285,0.13540463700620295,10
F,0.535,0.45,0.8075,0.322,0.181,0.25,0.126632650933366,13
M,0.475,0.36,0.578,0.2825,0.12,0.17,0.11332868530700317,8
I,0.415,0.325,0.385,0.167,0.08,0.125,0.09531017980432487,7
I,0.495,0.385,0.585,0.2755,0.1235,0.165,0.11778303565638346,8
F,0.48,0.405,0.6375,0.277,0.1445,0.21,0.12221763272424921,10
F,0.52,0.425,0.813,0.385,0.2015,0.23,0.13976194237515868,10
M,0.46,0.375,0.5735,0.2505,0.119,0.195,0.12221763272424921,9
F,0.58,0.455,0.94,0.399,0.257,0.265,0.11332868530700317,11
M,0.59,0.49,1.008,0.422,0.2245,0.285,0.126632650933366,11
F,0.55,0.415,0.775,0.302,0.179,0.26,0.126632650933366,23
F,0.65,0.5,1.1445,0.485,0.218,0.365,0.1527210870176639,12
F,0.465,0.375,0.6,0.2225,0.129,0.23,0.126632650933366,16
M,0.455,0.355,0.515,0.2,0.1275,0.175,0.12221763272424921,11
F,0.47,0.375,0.5795,0.2145,0.164,0.195,0.12221763272424921,13
F,0.435,0.35,0.384,0.143,0.1005,0.125,0.10436001532424277,13
M,0.35,0.265,0.2965,0.1365,0.063,0.085,0.10436001532424277,7
I,0.315,0.24,0.137,0.0545,0.0315,0.04,0.06765864847381481,8
M,0.595,0.47,0.991,0.4035,0.1505,0.34,0.13540463700620295,16
F,0.58,0.475,0.925,0.391,0.165,0.275,0.126632650933366,14
M,0.575,0.435,0.805,0.293,0.1625,0.27,0.13976194237515868,17
M,0.535,0.435,0.8915,0.3415,0.177,0.25,0.14410034397375684,13
M,0.515,0.42,0.769,0.2505,0.154,0.29,0.1310282624064041,13
F,0.505,0.385,0.6185,0.251,0.1175,0.2,0.126632650933366,12
F,0.505,0.395,0.6515,0.2695,0.153,0.205,0.13540463700620295,15
I,0.4,0.31,0.2875,0.1145,0.0635,0.095,0.09531017980432487,10
M,0.49,0.395,0.5545,0.213,0.0925,0.215,0.126632650933366,14
M,0.53,0.435,0.7365,0.3275,0.1315,0.22,0.126632650933366,12
I,0.395,0.325,0.306,0.111,0.0735,0.095,0.09984533496971613,8
F,0.665,0.535,1.496,0.5775,0.2815,0.475,0.173953307123438,17
F,0.415,0.305,0.3605,0.12,0.082,0.1,0.09984533496971613,10
M,0.43,0.345,0.3045,0.0925,0.055,0.12,0.10885440491208208,11
M,0.475,0.395,0.592,0.2465,0.1645,0.2,0.126632650933366,13
F,0.525,0.425,0.7995,0.3345,0.209,0.24,0.13540463700620295,15
I,0.48,0.39,0.5825,0.2315,0.121,0.255,0.13540463700620295,15
I,0.42,0.345,0.3435,0.1515,0.0795,0.115,0.10885440491208208,9
F,0.59,0.46,0.906,0.327,0.1485,0.335,0.14410034397375684,15
F,0.515,0.42,0.6295,0.2815,0.127,0.215,0.126632650933366,9
M,0.695,0.55,1.5515,0.566,0.3835,0.445,0.19885085874516517,13
F,0.8,0.63,2.526,0.933,0.59,0.62,0.178146185383474,23
M,0.61,0.43833921015514804,1.103,0.425,0.2025,0.36,0.13976194237515868,23
F,0.565,0.48,0.957,0.3885,0.215,0.275,0.16126814759612226,18
M,0.56,0.455,0.86,0.4015,0.1695,0.245,0.1527210870176639,11
F,0.655,0.485,1.62,0.6275,0.358,0.485,0.178146185383474,17
M,0.64,0.52,1.407,0.566,0.304,0.455,0.18232155679395462,17
F,0.59,0.47,0.9,0.355,0.1905,0.25,0.15700374880966475,11
I,0.31,0.24,0.1455,0.0605,0.0315,0.12803508771929822,0.08617769624105233,7
I,0.255,0.185,0.075,0.028,0.018,0.025,0.06765864847381481,6
I,0.17,0.125,0.0235,0.009,0.0055,0.008,0.05354076692802982,6
M,0.67,0.55,1.247,0.472,0.2455,0.4,0.15700374880966475,21
F,0.71,0.565,1.7265,0.638,0.3365,0.565,0.178146185383474,17
F,0.56,0.43,0.8025,0.313,0.1715,0.263,0.11778303565638346,13
M,0.505,0.4,0.764,0.3035,0.189,0.2175,0.12221763272424921,11
M,0.525,0.43,0.8645,0.376,0.1945,0.2515,0.1527210870176639,16
F,0.45,0.36,0.4715,0.2035,0.0935,0.29513775156141564,0.09984533496971613,9
F,0.515,0.435,0.631,0.2765,0.111,0.216,0.15700374880966475,12
M,0.59,0.475,0.9455,0.3815,0.184,0.27,0.14842000511827327,19
M,0.7,0.53,1.3185,0.548,0.233,0.42,0.173953307123438,18
F,0.72,0.56,1.7265,0.637,0.3415,0.525,0.16126814759612226,17
M,0.635,0.495,1.081,0.4825,0.242,0.31,0.13976194237515868,11
M,0.555,0.44,0.9025,0.3805,0.2105,0.28,0.126632650933366,13
M,0.575,0.47,1.1415,0.4515,0.204,0.4,0.13976194237515868,13
M,0.585,0.455,1.027,0.391,0.212,0.25,0.11778303565638346,17
F,0.61,0.485,1.3445,0.535,0.2205,0.515,0.19062035960864973,20
F,0.645,0.525,1.449,0.601,0.2565,0.505,0.18232155679395462,13
F,0.545,0.44,0.7745,0.2985,0.1875,0.265,0.16126814759612226,11
M,0.55,0.45,0.7895,0.343,0.159,0.25,0.14410034397375684,12
F,0.66,0.525,1.0224226985242446,0.5005,0.291,0.41,0.1864795669426183,18
M,0.57,0.475,1.0295,0.4635,0.1905,0.305,0.178146185383474,18
F,0.6,0.47,1.031,0.392,0.2035,0.29,0.18232155679395462,15
F,0.63,0.505,1.065,0.4595,0.216,0.315,0.1527210870176639,12
M,0.695,0.57,1.885,0.8665,0.435,0.5,0.20701416938432612,19
M,0.65,0.545,1.2425,0.487,0.296,0.48,0.14842000511827327,15
F,0.72,0.595,1.969,0.8045,0.423,0.66,0.20294084399669032,16
I,0.56,0.44,0.9445,0.3545,0.2175,0.3,0.15700374880966475,12
I,0.42,0.325,0.354,0.1625,0.064,0.105,0.10885440491208208,8
M,0.18,0.125,0.023,0.0085,0.0055,0.01,0.04879016416943201,3
F,0.405,0.325,0.3575,0.145,0.0725,0.11,0.10436001532424277,12
F,0.5,0.405,0.5965,0.253,0.126,0.185,0.13976194237515868,12
I,0.435,0.335,0.383,0.1555,0.0675,0.135,0.10436001532424277,12
M,0.34,0.275,0.2065,0.0725,0.043,0.07,0.08617769624105233,10
F,0.43,0.34,0.382,0.154,0.0955,0.109,0.10436001532424277,8
I,0.535,0.41,0.6315,0.2745,0.1415,0.1815,0.14410034397375684,12
I,0.415,0.325,0.3285,0.1405,0.051,0.106,0.10885440491208208,12
F,0.36,0.265,0.2165,0.096,0.037,0.0735,0.08617769624105233,10
M,0.175,0.135,0.0305,0.011,0.0075,0.01,0.039220713153281295,5
M,0.155,0.115,0.024,0.009,0.005,0.0075,0.024692612590371504,5
I,0.525,0.43,0.7365,0.3225,0.161,0.215,0.13976194237515868,11
F,0.525,0.39,0.6005,0.2265,0.131,0.21,0.126632650933366,16
F,0.44,0.345,0.4285,0.165,0.083,0.132,0.09984533496971613,11
F,0.45,0.345,0.496,0.1905,0.117,0.14,0.10885440491208208,12
F,0.485,0.365,0.6195,0.2595,0.1445,0.177,0.1310282624064041,14
I,0.47,0.35,0.567,0.2315,0.1465,0.1525,0.126632650933366,11
F,0.515,0.375,0.6505,0.2495,0.141,0.2215,0.1310282624064041,10
M,0.42,0.34,0.4495,0.165,0.1125,0.144,0.11778303565638346,11
F,0.455,0.35,0.4485,0.1585,0.102,0.1335,0.11778303565638346,16
M,0.37,0.29,0.241,0.11,0.045,0.069,0.08617769624105233,10
M,0.33,0.25,0.197,0.085,0.041,0.0605,0.08617769624105233,10
I,0.3,0.22,0.1425,0.057,0.0335,0.043,0.08617769624105233,7
I,0.625,0.46,1.2395,0.55,0.273,0.38,0.14842000511827327,14
I,0.61,0.475,1.0385,0.4435,0.241,0.32,0.15700374880966475,14
I,0.625,0.465,0.972,0.404,0.1845,0.35,0.14410034397375684,14
I,0.635,0.505,1.3315,0.5805,0.252,0.435,0.173953307123438,17
I,0.5,0.385,0.762,0.3795,0.161,0.19,0.14410034397375684,14
F,0.53,0.43,0.775,0.35,0.152,0.235,0.15700374880966475,17
I,0.445,0.33,0.437,0.163,0.0755,0.17,0.09531017980432487,13
F,0.585,0.415,0.6985,0.3,0.146,0.195,0.14410034397375684,12
I,0.44,0.355,0.435,0.159,0.105,0.14,0.1527210870176639,16
M,0.29,0.225,0.1295,0.0535,0.026,0.045,0.07696104113612832,10
F,0.555,0.455,0.8435,0.309,0.1905,0.3,0.15700374880966475,15
I,0.655,0.515,1.25,0.5265,0.283,0.315,0.13540463700620295,15
F,0.58,0.46,1.017,0.3515,0.2,0.32,0.16974277458709452,10
I,0.625,0.43,1.411,0.572,0.297,0.395,0.16126814759612226,12
I,0.62,0.3257367149758454,1.208,0.4805,0.3045,0.33,0.15700374880966475,15
F,0.64,0.5,1.0705,0.371,0.2705,0.36,0.13976194237515868,8
F,0.505,0.375,0.5895,0.2635,0.12,0.167,0.10885440491208208,10
